,value,description
0,26770200,"Undefined Value for England (geography), Count (measure) for Jul 2016-Jun 2017 from annual population survey - regional - occupation by sex by employment type"
1,842600,"Undefined Value for England (geography), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2016-Jun 2017 from annual population survey - regional - occupation by sex by employment type"
2,14304000,"Undefined Value for England (geography), Males (Sex), Count (measure) for Jul 2016-Jun 2017 from annual population survey - regional - occupation by sex by employment type"
3,697200,"Undefined Value for England (geography), Males (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2016-Jun 2017 from annual population survey - regional - occupation by sex by employment type"
4,12466200,"Undefined Value for England (geography), Females (Sex), Count (measure) for Jul 2016-Jun 2017 from annual population survey - regional - occupation by sex by employment type"
5,145400,"Undefined Value for England (geography), Females (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2016-Jun 2017 from annual population survey - regional - occupation by sex by employment type"
6,22487300,"Undefined Value for England (geography), Employee (Employee/Self-employed), Count (measure) for Jul 2016-Jun 2017 from annual population survey - regional - occupation by sex by employment type"
7,718600,"Undefined Value for England (geography), Employee (Employee/Self-employed), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2016-Jun 2017 from annual population survey - regional - occupation by sex by employment type"
8,11467600,"Undefined Value for England (geography), Employee (Employee/Self-employed), Males (Sex), Count (measure) for Jul 2016-Jun 2017 from annual population survey - regional - occupation by sex by employment type"
9,592700,"Undefined Value for England (geography), Employee (Employee/Self-employed), Males (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2016-Jun 2017 from annual population survey - regional - occupation by sex by employment type"
10,11019600,"Undefined Value for England (geography), Employee (Employee/Self-employed), Females (Sex), Count (measure) for Jul 2016-Jun 2017 from annual population survey - regional - occupation by sex by employment type"
11,125900,"Undefined Value for England (geography), Employee (Employee/Self-employed), Females (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2016-Jun 2017 from annual population survey - regional - occupation by sex by employment type"
12,19599300,"Undefined Value for England (geography), Full-time (Full/Part-time), Count (measure) for Jul 2016-Jun 2017 from annual population survey - regional - occupation by sex by employment type"
13,789300,"Undefined Value for England (geography), Full-time (Full/Part-time), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2016-Jun 2017 from annual population survey - regional - occupation by sex by employment type"
14,12369000,"Undefined Value for England (geography), Full-time (Full/Part-time), Males (Sex), Count (measure) for Jul 2016-Jun 2017 from annual population survey - regional - occupation by sex by employment type"
15,670900,"Undefined Value for England (geography), Full-time (Full/Part-time), Males (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2016-Jun 2017 from annual population survey - regional - occupation by sex by employment type"
16,7230300,"Undefined Value for England (geography), Full-time (Full/Part-time), Females (Sex), Count (measure) for Jul 2016-Jun 2017 from annual population survey - regional - occupation by sex by employment type"
17,118400,"Undefined Value for England (geography), Full-time (Full/Part-time), Females (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2016-Jun 2017 from annual population survey - regional - occupation by sex by employment type"
18,16655000,"Undefined Value for England (geography), Full-time (Full/Part-time), Employee (Employee/Self-employed), Count (measure) for Jul 2016-Jun 2017 from annual population survey - regional - occupation by sex by employment type"
19,685900,"Undefined Value for England (geography), Full-time (Full/Part-time), Employee (Employee/Self-employed), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2016-Jun 2017 from annual population survey - regional - occupation by sex by employment type"
20,10087900,"Undefined Value for England (geography), Full-time (Full/Part-time), Employee (Employee/Self-employed), Males (Sex), Count (measure) for Jul 2016-Jun 2017 from annual population survey - regional - occupation by sex by employment type"
21,579700,"Undefined Value for England (geography), Full-time (Full/Part-time), Employee (Employee/Self-employed), Males (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2016-Jun 2017 from annual population survey - regional - occupation by sex by employment type"
22,6567100,"Undefined Value for England (geography), Full-time (Full/Part-time), Employee (Employee/Self-employed), Females (Sex), Count (measure) for Jul 2016-Jun 2017 from annual population survey - regional - occupation by sex by employment type"
23,106100,"Undefined Value for England (geography), Full-time (Full/Part-time), Employee (Employee/Self-employed), Females (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2016-Jun 2017 from annual population survey - regional - occupation by sex by employment type"
24,21117600,"Undefined Value for England (geography), Permanent (Permanent/non-permanent), Count (measure) for Jul 2016-Jun 2017 from annual population survey - regional - occupation by sex by employment type"
25,696200,"Undefined Value for England (geography), Permanent (Permanent/non-permanent), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2016-Jun 2017 from annual population survey - regional - occupation by sex by employment type"
26,10821300,"Undefined Value for England (geography), Permanent (Permanent/non-permanent), Males (Sex), Count (measure) for Jul 2016-Jun 2017 from annual population survey - regional - occupation by sex by employment type"
27,576300,"Undefined Value for England (geography), Permanent (Permanent/non-permanent), Males (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2016-Jun 2017 from annual population survey - regional - occupation by sex by employment type"
28,10296300,"Undefined Value for England (geography), Permanent (Permanent/non-permanent), Females (Sex), Count (measure) for Jul 2016-Jun 2017 from annual population survey - regional - occupation by sex by employment type"
29,119900,"Undefined Value for England (geography), Permanent (Permanent/non-permanent), Females (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2016-Jun 2017 from annual population survey - regional - occupation by sex by employment type"
30,21117600,"Undefined Value for England (geography), Permanent (Permanent/non-permanent), Employee (Employee/Self-employed), Count (measure) for Jul 2016-Jun 2017 from annual population survey - regional - occupation by sex by employment type"
31,696200,"Undefined Value for England (geography), Permanent (Permanent/non-permanent), Employee (Employee/Self-employed), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2016-Jun 2017 from annual population survey - regional - occupation by sex by employment type"
