,value,description
0,862600,"Undefined Value for Northern Ireland (geography), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
1,17700,"Undefined Value for Northern Ireland (geography), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
2,454300,"Undefined Value for Northern Ireland (geography), Males (Sex), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
3,15200,"Undefined Value for Northern Ireland (geography), Males (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
4,408300,"Undefined Value for Northern Ireland (geography), Females (Sex), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
5,2500,"Undefined Value for Northern Ireland (geography), Females (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
6,726900,"Undefined Value for Northern Ireland (geography), Employee (Employee/Self-employed), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
7,15900,"Undefined Value for Northern Ireland (geography), Employee (Employee/Self-employed), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
8,357700,"Undefined Value for Northern Ireland (geography), Employee (Employee/Self-employed), Males (Sex), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
9,13600,"Undefined Value for Northern Ireland (geography), Employee (Employee/Self-employed), Males (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
10,369200,"Undefined Value for Northern Ireland (geography), Employee (Employee/Self-employed), Females (Sex), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
11,2300,"Undefined Value for Northern Ireland (geography), Employee (Employee/Self-employed), Females (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
12,649000,"Undefined Value for Northern Ireland (geography), Full-time (Full/Part-time), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
13,17000,"Undefined Value for Northern Ireland (geography), Full-time (Full/Part-time), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
14,399200,"Undefined Value for Northern Ireland (geography), Full-time (Full/Part-time), Males (Sex), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
15,14700,"Undefined Value for Northern Ireland (geography), Full-time (Full/Part-time), Males (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
16,249800,"Undefined Value for Northern Ireland (geography), Full-time (Full/Part-time), Females (Sex), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
17,2300,"Undefined Value for Northern Ireland (geography), Full-time (Full/Part-time), Females (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
18,542900,"Undefined Value for Northern Ireland (geography), Full-time (Full/Part-time), Employee (Employee/Self-employed), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
19,15900,"Undefined Value for Northern Ireland (geography), Full-time (Full/Part-time), Employee (Employee/Self-employed), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
20,315500,"Undefined Value for Northern Ireland (geography), Full-time (Full/Part-time), Employee (Employee/Self-employed), Males (Sex), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
21,13600,"Undefined Value for Northern Ireland (geography), Full-time (Full/Part-time), Employee (Employee/Self-employed), Males (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
22,227400,"Undefined Value for Northern Ireland (geography), Full-time (Full/Part-time), Employee (Employee/Self-employed), Females (Sex), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
23,2300,"Undefined Value for Northern Ireland (geography), Full-time (Full/Part-time), Employee (Employee/Self-employed), Females (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
24,675200,"Undefined Value for Northern Ireland (geography), Permanent (Permanent/non-permanent), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
25,15600,"Undefined Value for Northern Ireland (geography), Permanent (Permanent/non-permanent), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
26,335000,"Undefined Value for Northern Ireland (geography), Permanent (Permanent/non-permanent), Males (Sex), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
27,13300,"Undefined Value for Northern Ireland (geography), Permanent (Permanent/non-permanent), Males (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
28,340200,"Undefined Value for Northern Ireland (geography), Permanent (Permanent/non-permanent), Females (Sex), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
29,2300,"Undefined Value for Northern Ireland (geography), Permanent (Permanent/non-permanent), Females (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
30,675200,"Undefined Value for Northern Ireland (geography), Permanent (Permanent/non-permanent), Employee (Employee/Self-employed), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
31,15600,"Undefined Value for Northern Ireland (geography), Permanent (Permanent/non-permanent), Employee (Employee/Self-employed), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
32,335000,"Undefined Value for Northern Ireland (geography), Permanent (Permanent/non-permanent), Employee (Employee/Self-employed), Males (Sex), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
33,13300,"Undefined Value for Northern Ireland (geography), Permanent (Permanent/non-permanent), Employee (Employee/Self-employed), Males (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
34,340200,"Undefined Value for Northern Ireland (geography), Permanent (Permanent/non-permanent), Employee (Employee/Self-employed), Females (Sex), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
35,2300,"Undefined Value for Northern Ireland (geography), Permanent (Permanent/non-permanent), Employee (Employee/Self-employed), Females (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
36,521300,"Undefined Value for Northern Ireland (geography), Permanent (Permanent/non-permanent), Full-time (Full/Part-time), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
37,15600,"Undefined Value for Northern Ireland (geography), Permanent (Permanent/non-permanent), Full-time (Full/Part-time), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
38,304400,"Undefined Value for Northern Ireland (geography), Permanent (Permanent/non-permanent), Full-time (Full/Part-time), Males (Sex), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
39,13300,"Undefined Value for Northern Ireland (geography), Permanent (Permanent/non-permanent), Full-time (Full/Part-time), Males (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
40,216900,"Undefined Value for Northern Ireland (geography), Permanent (Permanent/non-permanent), Full-time (Full/Part-time), Females (Sex), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
41,2300,"Undefined Value for Northern Ireland (geography), Permanent (Permanent/non-permanent), Full-time (Full/Part-time), Females (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
42,521300,"Undefined Value for Northern Ireland (geography), Permanent (Permanent/non-permanent), Full-time (Full/Part-time), Employee (Employee/Self-employed), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
43,15600,"Undefined Value for Northern Ireland (geography), Permanent (Permanent/non-permanent), Full-time (Full/Part-time), Employee (Employee/Self-employed), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
44,304400,"Undefined Value for Northern Ireland (geography), Permanent (Permanent/non-permanent), Full-time (Full/Part-time), Employee (Employee/Self-employed), Males (Sex), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
45,13300,"Undefined Value for Northern Ireland (geography), Permanent (Permanent/non-permanent), Full-time (Full/Part-time), Employee (Employee/Self-employed), Males (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
46,216900,"Undefined Value for Northern Ireland (geography), Permanent (Permanent/non-permanent), Full-time (Full/Part-time), Employee (Employee/Self-employed), Females (Sex), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
47,2300,"Undefined Value for Northern Ireland (geography), Permanent (Permanent/non-permanent), Full-time (Full/Part-time), Employee (Employee/Self-employed), Females (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
