,value,description
0,841800,"Undefined Value for Northern Ireland (geography), Count (measure) for Jul 2020-Jun 2021 from annual population survey - regional - occupation by sex by employment type"
1,31200,"Undefined Value for Northern Ireland (geography), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2020-Jun 2021 from annual population survey - regional - occupation by sex by employment type"
2,437800,"Undefined Value for Northern Ireland (geography), Males (Sex), Count (measure) for Jul 2020-Jun 2021 from annual population survey - regional - occupation by sex by employment type"
3,26200,"Undefined Value for Northern Ireland (geography), Males (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2020-Jun 2021 from annual population survey - regional - occupation by sex by employment type"
4,404000,"Undefined Value for Northern Ireland (geography), Females (Sex), Count (measure) for Jul 2020-Jun 2021 from annual population survey - regional - occupation by sex by employment type"
5,5000,"Undefined Value for Northern Ireland (geography), Females (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2020-Jun 2021 from annual population survey - regional - occupation by sex by employment type"
6,729300,"Undefined Value for Northern Ireland (geography), Employee (Employee/Self-employed), Count (measure) for Jul 2020-Jun 2021 from annual population survey - regional - occupation by sex by employment type"
7,28600,"Undefined Value for Northern Ireland (geography), Employee (Employee/Self-employed), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2020-Jun 2021 from annual population survey - regional - occupation by sex by employment type"
8,356900,"Undefined Value for Northern Ireland (geography), Employee (Employee/Self-employed), Males (Sex), Count (measure) for Jul 2020-Jun 2021 from annual population survey - regional - occupation by sex by employment type"
9,23900,"Undefined Value for Northern Ireland (geography), Employee (Employee/Self-employed), Males (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2020-Jun 2021 from annual population survey - regional - occupation by sex by employment type"
10,372400,"Undefined Value for Northern Ireland (geography), Employee (Employee/Self-employed), Females (Sex), Count (measure) for Jul 2020-Jun 2021 from annual population survey - regional - occupation by sex by employment type"
11,4700,"Undefined Value for Northern Ireland (geography), Employee (Employee/Self-employed), Females (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2020-Jun 2021 from annual population survey - regional - occupation by sex by employment type"
12,638200,"Undefined Value for Northern Ireland (geography), Full-time (Full/Part-time), Count (measure) for Jul 2020-Jun 2021 from annual population survey - regional - occupation by sex by employment type"
13,30300,"Undefined Value for Northern Ireland (geography), Full-time (Full/Part-time), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2020-Jun 2021 from annual population survey - regional - occupation by sex by employment type"
14,383800,"Undefined Value for Northern Ireland (geography), Full-time (Full/Part-time), Males (Sex), Count (measure) for Jul 2020-Jun 2021 from annual population survey - regional - occupation by sex by employment type"
15,25700,"Undefined Value for Northern Ireland (geography), Full-time (Full/Part-time), Males (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2020-Jun 2021 from annual population survey - regional - occupation by sex by employment type"
16,254400,"Undefined Value for Northern Ireland (geography), Full-time (Full/Part-time), Females (Sex), Count (measure) for Jul 2020-Jun 2021 from annual population survey - regional - occupation by sex by employment type"
