,Year,Males,Females,Location
0,2021,909800,238800,England
1,2020,818800,168900,England
2,2019,750800,149600,England
3,2018,692600,149600,England
4,2017,697200,145400,England
5,2016,689100,137200,England
6,2021,24700,5900,Wales
7,2020,25500,4400,Wales
8,2019,22000,4500,Wales
9,2018,23000,4100,Wales
10,2017,23400,3600,Wales
11,2016,19400,4200,Wales
12,2021,26200,5000,Northern Ireland
13,2020,17600,3900,Northern Ireland
14,2019,15200,2500,Northern Ireland
15,2018,17500,2900,Northern Ireland
16,2017,13800,2800,Northern Ireland
17,2016,15700,2800,Northern Ireland
18,2021,72700,20000,Scotland
19,2020,53400,14600,Scotland
20,2019,49500,12600,Scotland
21,2018,55600,17200,Scotland
22,2017,55000,14900,Scotland
23,2016,56800,13000,Scotland
24,2021,1033400,269600,UK
25,2020,915300,191800,UK
26,2019,837500,169200,UK
27,2018,788800,173800,UK
28,2017,789400,166800,UK
29,2016,780900,157100,UK
