Region,Information Technology and Telecommunications,Specialist Managers,Project and Programme Managers,"Business Analysts, Architects and System Designers",Programmers and Software Development Professionals,Web design and development professionals,Information Technology and Telecommunications Professionals n.e.c,Year
East,1600,3100,3300,2600,3800,2000,2300,2016-2017
East,700,4100,2200,2100,4900,1100,2600,2017-2018
East,1300,2500,1500,2000,5700,1000,3200,2018-2019
East,900,5100,1300,2200,2300,1400,4000,2019-2020
East,1100,7300,2100,5500,6000,1400,3400,2020-2021
East Midlands,1200,1900,900,1400,3700,1300,400,2016-2017
East Midlands,400,2900,2300,1800,2600,0,1600,2017-2018
East Midlands,2400,4100,1700,2100,2000,700,1700,2018-2019
East Midlands,1700,2700,800,1000,1800,0,1300,2019-2020
East Midlands,1000,3700,1800,1300,3100,700,3400,2020-2021
London,1900,7100,6400,2500,7600,4700,8500,2016-2017
London,3600,7100,6000,2000,10700,5900,9100,2017-2018
London,3500,6700,2400,4600,12900,6100,7800,2018-2019
London,3500,11300,5300,7600,14700,2700,14100,2019-2020
London,4500,14800,6400,11900,17200,8100,16500,2020-2021
North East,200,1000,600,600,600,400,400,2016-2017
North East,400,1700,300,700,400,400,400,2017-2018
North East,300,700,0,700,600,400,900,2018-2019
North East,100,1100,0,300,1000,900,300,2019-2020
North East,0,1500,800,1000,1500,700,1600,2020-2021
North West,600,3200,900,2100,2900,800,2400,2016-2017
North West,900,3700,2000,1500,4200,500,3300,2017-2018
North West,1900,3900,2100,1000,5000,1000,3000,2018-2019
North West,200,3900,1500,1900,2900,800,5900,2019-2020
North West,1800,6600,1700,3300,4200,1900,2700,2020-2021
Northern Ireland,200,300,700,600,300,0,800,2016-2017
Northern Ireland,0,200,900,700,1100,0,0,2017-2018
Northern Ireland,0,200,500,300,500,200,800,2018-2019
Northern Ireland,0,100,200,500,1400,400,1400,2019-2020
Northern Ireland,600,400,500,1000,1000,700,1800,2020-2021
Scotland,1500,2200,1500,3700,3300,2500,1800,2016-2017
Scotland,1300,3900,1900,2000,5100,1300,3000,2017-2018
Scotland,800,1600,1300,2400,4900,1600,700,2018-2019
Scotland,1100,2500,1100,2300,4700,1600,2400,2019-2020
Scotland,200,4300,2900,1900,6300,100,4300,2020-2021
South East,2400,5200,4200,3700,11100,4600,3700,2016-2017
South East,2100,4300,4300,5600,7400,3200,5400,2017-2018
South East,1700,7900,1300,3000,8900,2000,5300,2018-2019
South East,3600,7100,2800,4100,10900,2700,6400,2019-2020
South East,3100,8000,4300,6200,13600,3000,10300,2020-2021
South West,1200,2700,1100,1400,3100,1300,2800,2016-2017
South West,700,2100,800,1900,1800,1200,2200,2017-2018
South West,600,2800,900,1500,3500,1500,1300,2018-2019
South West,1500,3600,1400,1000,2300,700,2000,2019-2020
South West,800,4000,2200,2200,5900,2500,2700,2020-2021
Wales,400,900,300,200,1000,400,800,2016-2017
Wales,0,500,400,400,1400,100,1300,2017-2018
Wales,500,1800,300,300,1400,100,500,2018-2019
Wales,600,900,500,200,1000,400,1300,2019-2020
Wales,600,2000,300,500,2200,200,700,2020-2021
West Midlands,700,2700,1100,2400,1400,1100,2800,2016-2017
West Midlands,700,2500,1200,1300,3000,200,2100,2017-2018
West Midlands,0,4700,300,2300,2000,1800,2600,2018-2019
West Midlands,1200,2400,2600,1000,5000,1300,1700,2019-2020
West Midlands,1100,3700,1000,3100,3100,400,4900,2020-2021
Yorkshire and The Humber,2000,3400,800,600,1300,900,1800,2016-2017
Yorkshire and The Humber,700,4400,1900,900,2700,600,500,2017-2018
Yorkshire and The Humber,1100,3000,200,1100,900,900,2400,2018-2019
Yorkshire and The Humber,800,1500,1600,800,2900,600,2200,2019-2020
Yorkshire and The Humber,700,3600,2300,3200,2500,1600,2600,2020-2021
