Region,Information Technology and Telecommunications,Specialist Managers,Project and Programme Managers,"Business Analysts, Architects and System Designers",Programmers and Software Development Professionals,Web design and development professionals,Information Technology and Telecommunications Professionals n.e.c,Year
East,11800,15800,6600,8900,25100,5600,17600,2016-2017
East,9400,13700,7300,13700,23800,3800,16900,2017-2018
East,12300,15100,2800,9500,32800,3500,21600,2018-2019
East,17100,21000,3700,9300,38800,6200,12200,2019-2020
East,15200,14000,5500,14400,41100,7300,19600,2020-2021
East Midlands,3800,10900,4200,4600,15300,4000,9600,2016-2017
East Midlands,5000,9600,3400,5500,14700,2600,5500,2017-2018
East Midlands,6200,10300,2900,7600,14500,1800,8500,2018-2019
East Midlands,3800,12200,3500,8600,12900,1000,11300,2019-2020
East Midlands,6400,14100,3700,8000,18900,1900,10300,2020-2021
London,22300,26600,11800,15900,61300,8600,41600,2016-2017
London,18800,29300,9500,26800,65300,7800,35700,2017-2018
London,21100,37100,7900,22100,79600,8300,38000,2018-2019
London,16600,32300,18300,33600,81600,9700,27300,2019-2020
London,28900,35600,7100,41900,85100,9500,36800,2020-2021
North East,2300,4100,1700,1900,8200,2100,3700,2016-2017
North East,1600,2900,1100,2100,6900,1900,4200,2017-2018
North East,1800,4400,1100,3200,8000,2100,4900,2018-2019
North East,1900,4600,600,2400,8300,1500,5000,2019-2020
North East,800,4300,0,3000,10300,1400,3500,2020-2021
North West,5600,12700,5600,8400,17600,5300,9600,2016-2017
North West,6500,13600,5100,8100,19400,4700,13200,2017-2018
North West,7700,13100,3000,9600,25600,2700,13500,2018-2019
North West,9800,15500,3600,10100,30900,6400,12800,2019-2020
North West,8900,17000,6800,16000,38200,6100,17500,2020-2021
Northern Ireland,1700,2000,1600,1500,5300,0,3100,2016-2017
Northern Ireland,1200,1600,1200,1300,8300,600,4500,2017-2018
Northern Ireland,0,2800,1400,1700,5500,900,2900,2018-2019
Northern Ireland,600,1900,1800,2200,7800,1300,2600,2019-2020
Northern Ireland,2100,3200,2100,4200,10100,0,6300,2020-2021
Scotland,4900,8400,4200,7100,22300,3100,10600,2016-2017
Scotland,2700,10100,3000,9000,22000,2900,8600,2017-2018
Scotland,5200,9000,4300,5000,18900,4500,7900,2018-2019
Scotland,5000,11500,2500,6800,20600,3200,8900,2019-2020
Scotland,3800,16400,2800,13800,28100,1800,9900,2020-2021
South East,20400,35800,12100,23900,48300,10700,32700,2016-2017
South East,21100,29500,9000,22300,54500,6700,34200,2017-2018
South East,22400,39800,6700,22800,56700,6100,36000,2018-2019
South East,22300,26400,9200,27600,66100,5500,36400,2019-2020
South East,24800,34100,15200,26600,60800,8300,33400,2020-2021
South West,8900,12300,6600,8900,20100,3500,14400,2016-2017
South West,9100,10400,2400,6700,20200,3800,11200,2017-2018
South West,5800,11500,2200,7400,27300,5100,9400,2018-2019
South West,8400,9900,7600,9700,24900,8000,12600,2019-2020
South West,7000,12600,6600,14700,26900,4000,13500,2020-2021
Wales,1900,5000,1800,3700,6800,2100,4300,2016-2017
Wales,1400,5200,2100,3200,7900,1300,3200,2017-2018
Wales,3000,5900,800,2100,7800,2200,3300,2018-2019
Wales,1800,5800,1000,3400,8900,1600,4800,2019-2020
Wales,2100,4200,700,5400,9700,1400,3300,2020-2021
West Midlands,6500,10500,2200,4100,14700,1400,12600,2016-2017
West Midlands,3700,10200,2700,6300,20700,3700,10900,2017-2018
West Midlands,4400,7100,2400,10800,19400,4200,12400,2018-2019
West Midlands,6700,14800,4400,11000,27200,2600,12500,2019-2020
West Midlands,11000,15600,6900,13200,26600,3200,13700,2020-2021
Yorkshire and The Humber,5000,7700,3500,7900,13800,3600,9200,2016-2017
Yorkshire and The Humber,6100,11500,3900,5200,16100,3800,8500,2017-2018
Yorkshire and The Humber,6500,11500,1400,6500,19100,3000,6500,2018-2019
Yorkshire and The Humber,10900,15400,3400,8100,18700,2100,9700,2019-2020
Yorkshire and The Humber,8000,17600,5000,9800,26500,4500,11100,2020-2021
